DATE,PCAGDPFIA646NWDB
1960-01-01,1179.35301099994
1961-01-01,1327.427224366
1962-01-01,1411.70239818044
1963-01-01,1522.3192420995
1964-01-01,1707.50393824701
1965-01-01,1882.08685764849
1966-01-01,2010.21345619725
1967-01-01,2034.18904965478
1968-01-01,1907.07727217667
1969-01-01,2178.03525044982
1970-01-01,2465.64481862422
1971-01-01,2716.19009222861
1972-01-01,3177.64570093734
1973-01-01,4173.17304749428
1974-01-01,5297.60781739462
1975-01-01,6255.54464076423
1976-01-01,6739.69071253255
1977-01-01,7069.10573825616
1978-01-01,7628.81571424906
1979-01-01,9332.24526383769
1980-01-01,11223.937563528
1981-01-01,10926.817966566
1982-01-01,10938.122061411
1983-01-01,10497.479996566
1984-01-01,10833.8662886935
1985-01-01,11398.1059531509
1986-01-01,14951.0467852887
1987-01-01,18571.0599253579
1988-01-01,22047.7933222595
1989-01-01,23973.2394840041
1990-01-01,28364.6450765922
1991-01-01,25484.7392935746
1992-01-01,22319.059460246
1993-01-01,17608.8123902264
1994-01-01,20301.333085866
1995-01-01,26271.5998141691
1996-01-01,25783.4504878611
1997-01-01,24691.8728133698
1998-01-01,26009.2694886182
1999-01-01,26177.3479836441
2000-01-01,24285.4668205162
2001-01-01,24946.1891891404
2002-01-01,26869.6749036293
2003-01-01,32855.1326287803
2004-01-01,37702.8453762641
2005-01-01,39040.2888825052
2006-01-01,41188.0936997302
2007-01-01,48414.8450929722
2008-01-01,53554.0389224673
2009-01-01,47293.9928335042
2010-01-01,46459.9732548543
2011-01-01,51081.9976703127
2012-01-01,47710.7902169415
2013-01-01,49878.0432444536
2014-01-01,50260.2998588958
2015-01-01,42784.6983616432
2016-01-01,43784.2839622098
2017-01-01,46297.4963459994
2018-01-01,49964.4999098426
2019-01-01,48678.3141318652
2020-01-01,48773.2811691347
