Country name,Ladder score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,% gdp,% social support,% life expectancy,% freedom,% genorisity,% CORRUPTION,% residual,,,,
Finland,7.842,1.446,1.106,0.741,0.691,0.124,0.481,3.253,18.443,14.106,9.447,8.806,1.584,6.127,41.487,,,,
Denmark,7.620,1.502,1.108,0.763,0.686,0.208,0.485,2.868,19.707,14.542,10.012,9.005,2.725,6.365,37.644,,,,
Switzerland,7.571,1.566,1.079,0.816,0.653,0.204,0.413,2.839,20.681,14.257,10.783,8.631,2.695,5.455,37.498,,,,
Iceland,7.554,1.482,1.172,0.772,0.698,0.293,0.170,2.967,19.622,15.519,10.224,9.236,3.873,2.250,39.277,,,,
Netherlands,7.464,1.501,1.079,0.753,0.647,0.302,0.384,2.798,20.111,14.458,10.094,8.663,4.051,5.138,37.484,,,,
Norway,7.392,1.543,1.108,0.782,0.703,0.249,0.427,2.580,20.879,14.989,10.575,9.511,3.367,5.774,34.904,,,,
Sweden,7.363,1.478,1.062,0.763,0.685,0.244,0.448,2.683,20.080,14.418,10.361,9.302,3.317,6.079,36.442,,,,
Luxembourg,7.324,1.751,1.003,0.760,0.639,0.166,0.353,2.653,23.903,13.694,10.372,8.729,2.267,4.814,36.220,,,,
New Zealand,7.277,1.400,1.094,0.785,0.665,0.276,0.445,2.612,19.241,15.033,10.787,9.144,3.787,6.115,35.893,,,,
Austria,7.268,1.492,1.062,0.782,0.640,0.215,0.292,2.784,20.531,14.618,10.756,8.806,2.959,4.018,38.310,,,,
Australia,7.183,1.453,1.076,0.801,0.647,0.291,0.317,2.598,20.234,14.977,11.146,9.010,4.056,4.413,36.164,,,,
Israel,7.157,1.376,1.074,0.788,0.509,0.208,0.119,3.083,19.230,15.003,11.012,7.111,2.906,1.659,43.076,,,,
Germany,7.155,1.480,0.993,0.757,0.600,0.195,0.306,2.824,20.691,13.873,10.575,8.392,2.724,4.271,39.472,,,,
Canada,7.103,1.447,1.044,0.798,0.648,0.246,0.335,2.585,20.366,14.702,11.227,9.129,3.466,4.710,36.398,,,,
Ireland,7.085,1.644,1.092,0.753,0.606,0.238,0.367,2.384,23.210,15.410,10.634,8.546,3.364,5.186,33.651,,,,
Costa Rica,7.069,1.134,0.966,0.722,0.673,0.105,0.083,3.387,16.035,13.662,10.212,9.513,1.492,1.178,47.908,,,,
United Kingdom,7.064,1.423,1.062,0.757,0.580,0.340,0.306,2.596,20.140,15.035,10.711,8.216,4.817,4.333,36.749,,,,
Czech Republic,6.965,1.370,1.090,0.703,0.580,0.052,0.046,3.124,19.668,15.653,10.097,8.328,0.748,0.655,44.851,,,,
United States,6.951,1.533,1.030,0.621,0.554,0.252,0.154,2.807,22.052,14.819,8.935,7.968,3.628,2.213,40.384,,,,
Belgium,6.834,1.463,0.998,0.747,0.489,0.088,0.187,2.862,21.409,14.602,10.932,7.150,1.287,2.741,41.879,,,,
France,6.690,1.421,1.081,0.804,0.536,0.092,0.235,2.521,21.248,16.156,12.015,8.005,1.381,3.514,37.680,,,,
Bahrain,6.647,1.409,0.899,0.662,0.661,0.246,0.139,2.631,21.200,13.525,9.959,9.945,3.703,2.085,39.584,,,,
Malta,6.602,1.411,1.055,0.747,0.664,0.275,0.183,2.268,21.371,15.982,11.317,10.054,4.158,2.766,34.353,,,,
Taiwan Province of China,6.584,1.480,0.982,0.665,0.490,0.142,0.139,2.687,22.475,14.907,10.103,7.441,2.156,2.112,40.806,,,,
United Arab Emirates,6.561,1.555,0.860,0.594,0.670,0.236,0.223,2.422,23.696,13.111,9.052,10.213,3.601,3.404,36.923,,,,
Saudi Arabia,6.494,1.435,0.964,0.571,0.603,0.090,0.163,2.668,22.096,14.847,8.790,9.285,1.393,2.507,41.080,,,,
Spain,6.491,1.375,1.057,0.826,0.462,0.135,0.124,2.513,21.184,16.278,12.724,7.117,2.081,1.907,38.711,,,,
Italy,6.483,1.393,0.940,0.798,0.379,0.133,0.047,2.794,21.489,14.504,12.301,5.840,2.052,0.724,43.090,,,,
Slovenia,6.461,1.360,1.093,0.722,0.690,0.122,0.085,2.388,21.058,16.925,11.174,10.677,1.893,1.311,36.962,,,,
Guatemala,6.435,0.845,0.790,0.519,0.638,0.163,0.105,3.375,13.129,12.279,8.067,9.911,2.540,1.626,52.449,,,,
Uruguay,6.431,1.164,1.042,0.649,0.625,0.128,0.223,2.600,18.091,16.197,10.099,9.725,1.987,3.468,40.432,,,,
Singapore,6.377,1.695,1.019,0.897,0.664,0.176,0.547,1.379,26.588,15.980,14.064,10.409,2.759,8.575,21.624,,,,
Kosovo,6.372,0.937,0.807,0.483,0.593,0.356,0.014,3.182,14.710,12.670,7.580,9.304,5.585,0.219,49.932,,,,
Slovakia,6.331,1.304,1.066,0.653,0.468,0.107,0.018,2.714,20.604,16.842,10.309,7.393,1.694,0.283,42.876,,,,
Brazil,6.330,1.028,0.944,0.571,0.514,0.142,0.117,3.015,16.237,14.912,9.017,8.125,2.237,1.843,47.628,,,,
Mexico,6.317,1.126,0.830,0.634,0.585,0.092,0.089,2.961,17.829,13.135,10.031,9.261,1.460,1.416,46.868,,,,
Jamaica,6.309,0.891,0.932,0.599,0.618,0.099,0.035,3.135,14.125,14.780,9.496,9.794,1.565,0.555,49.685,,,,
Lithuania,6.255,1.350,1.065,0.612,0.476,0.056,0.073,2.624,21.578,17.026,9.782,7.615,0.891,1.159,41.950,,,,
Cyprus,6.223,1.377,0.765,0.801,0.464,0.178,0.061,2.578,22.122,12.297,12.864,7.455,2.864,0.975,41.423,,,,
Estonia,6.189,1.344,1.079,0.640,0.641,0.119,0.263,2.103,21.711,17.432,10.342,10.361,1.918,4.253,33.984,,,,
Panama,6.180,1.298,0.976,0.667,0.596,0.079,0.053,2.509,21.002,15.796,10.792,9.651,1.286,0.863,40.609,,,,
Uzbekistan,6.179,0.769,1.027,0.528,0.716,0.391,0.271,2.477,12.446,16.622,8.552,11.587,6.323,4.379,40.092,,,,
Chile,6.172,1.200,0.946,0.678,0.438,0.159,0.070,2.682,19.449,15.320,10.983,7.093,2.577,1.126,43.452,,,,
Poland,6.166,1.309,0.982,0.668,0.558,0.080,0.130,2.438,21.229,15.919,10.841,9.055,1.304,2.110,39.543,,,,
Kazakhstan,6.152,1.230,1.103,0.527,0.573,0.143,0.132,2.446,19.988,17.927,8.561,9.312,2.319,2.138,39.756,,,,
Romania,6.140,1.275,0.832,0.595,0.564,0.045,0.001,2.830,20.760,13.551,9.683,9.182,0.730,0.011,46.084,,,,
Kuwait,6.106,1.461,0.857,0.580,0.591,0.120,0.130,2.368,23.924,14.027,9.502,9.672,1.966,2.121,38.788,,,,
Serbia,6.078,1.101,0.924,0.634,0.482,0.189,0.066,2.682,18.114,15.199,10.427,7.924,3.116,1.092,44.127,,,,
