Country name,Life Ladder
Afghanistan,2.375
Albania,4.995
Algeria,4.745
Argentina,6.086
Armenia,5.488
Australia,7.234
Austria,7.195
Azerbaijan,5.173
Bahrain,7.098
Bangladesh,5.114
Belarus,5.821
Belgium,6.772
Benin,4.976
Bolivia,5.674
Bosnia and Herzegovina,6.016
Botswana,3.471
Brazil,6.451
Bulgaria,5.108
Burkina Faso,4.741
Cambodia,4.998
Cameroon,4.937
Canada,7.109
Chad,4.251
Chile,5.942
China,5.144
Colombia,6.350
Comoros,4.609
Congo (Brazzaville),5.213
Costa Rica,6.998
Croatia,5.626
Cyprus,6.137
Denmark,7.693
Dominican Republic,6.004
Ecuador,5.809
Egypt,4.328
El Salvador,6.455
Estonia,6.035
Ethiopia,4.100
Finland,7.780
France,6.690
Gabon,4.914
Gambia,5.164
Georgia,4.892
Germany,7.035
Ghana,4.967
Greece,5.952
Guatemala,6.262
Guinea,4.768
Honduras,5.930
Hong Kong S.A.R. of China,5.659
Hungary,6.000
Iceland,7.533
India,3.249
Indonesia,5.347
Iran,5.006
Ireland,7.255
Israel,7.332
Italy,6.445
Ivory Coast,5.392
Jamaica,6.309
Japan,5.908
Jordan,4.453
Kazakhstan,6.272
Kenya,4.619
Kosovo,6.425
Kuwait,6.106
Kyrgyzstan,5.685
Laos,5.197
Latvia,5.970
Lebanon,4.024
Lesotho,3.512
Liberia,5.121
Libya,5.330
Lithuania,6.064
Luxembourg,7.404
Madagascar,4.339
Malawi,3.869
Malaysia,5.428
Mali,4.988
Malta,6.733
Mauritania,4.153
Mauritius,6.241
Mexico,6.432
Moldova,5.803
Mongolia,5.563
Montenegro,5.386
Morocco,5.057
Mozambique,4.932
Myanmar,4.434
Namibia,4.436
Nepal,5.449
Netherlands,7.425
New Zealand,7.205
Nicaragua,6.113
Niger,5.004
Nigeria,4.356
North Cyprus,5.467
North Macedonia,5.015
Norway,7.442
Pakistan,4.443
Palestinian Territories,4.483
Panama,6.086
Paraguay,5.653
Peru,5.999
Philippines,6.268
Poland,6.242
Portugal,6.095
Romania,6.130
Russia,5.441
Rwanda,3.268
Saudi Arabia,6.561
Senegal,5.489
Serbia,6.241
Sierra Leone,3.447
Singapore,6.378
Slovakia,6.243
Slovenia,6.665
South Africa,5.035
South Korea,5.903
Spain,6.457
Sri Lanka,4.213
Swaziland,4.396
Sweden,7.398
Switzerland,7.694
Taiwan Province of China,6.537
Tajikistan,5.464
Tanzania,3.640
Thailand,6.022
Togo,4.179
Tunisia,4.315
Turkey,4.872
Turkmenistan,5.474
Uganda,4.948
Ukraine,4.702
United Arab Emirates,6.711
United Kingdom,7.157
United States,6.944
Uruguay,6.600
Uzbekistan,6.154
Venezuela,5.081
Vietnam,5.467
Yemen,4.197
Zambia,3.307
Zimbabwe,2.694
