Country name,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,,,,,,,,,,,,,
Finland,1.106,0.741,0.691,0.124,0.481,3.253,,,,,,,,,,,,,
Denmark,1.108,0.763,0.686,0.208,0.485,2.868,,,,,,,,,,,,,
Switzerland,1.079,0.816,0.653,0.204,0.413,2.839,,,,,,,,,,,,,
Iceland,1.172,0.772,0.698,0.293,0.170,2.967,,,,,,,,,,,,,
Netherlands,1.079,0.753,0.647,0.302,0.384,2.798,,,,,,,,,,,,,
Norway,1.108,0.782,0.703,0.249,0.427,2.580,,,,,,,,,,,,,
Sweden,1.062,0.763,0.685,0.244,0.448,2.683,,,,,,,,,,,,,
Luxembourg,1.003,0.760,0.639,0.166,0.353,2.653,,,,,,,,,,,,,
New Zealand,1.094,0.785,0.665,0.276,0.445,2.612,,,,,,,,,,,,,
Austria,1.062,0.782,0.640,0.215,0.292,2.784,,,,,,,,,,,,,
Australia,1.076,0.801,0.647,0.291,0.317,2.598,,,,,,,,,,,,,
Israel,1.074,0.788,0.509,0.208,0.119,3.083,,,,,,,,,,,,,
Germany,0.993,0.757,0.600,0.195,0.306,2.824,,,,,,,,,,,,,
Canada,1.044,0.798,0.648,0.246,0.335,2.585,,,,,,,,,,,,,
Ireland,1.092,0.753,0.606,0.238,0.367,2.384,,,,,,,,,,,,,
Costa Rica,0.966,0.722,0.673,0.105,0.083,3.387,,,,,,,,,,,,,
United Kingdom,1.062,0.757,0.580,0.340,0.306,2.596,,,,,,,,,,,,,
Czech Republic,1.090,0.703,0.580,0.052,0.046,3.124,,,,,,,,,,,,,
United States,1.030,0.621,0.554,0.252,0.154,2.807,,,,,,,,,,,,,
Belgium,0.998,0.747,0.489,0.088,0.187,2.862,,,,,,,,,,,,,
France,1.081,0.804,0.536,0.092,0.235,2.521,,,,,,,,,,,,,
Bahrain,0.899,0.662,0.661,0.246,0.139,2.631,,,,,,,,,,,,,
Malta,1.055,0.747,0.664,0.275,0.183,2.268,,,,,,,,,,,,,
Taiwan Province of China,0.982,0.665,0.490,0.142,0.139,2.687,,,,,,,,,,,,,
United Arab Emirates,0.860,0.594,0.670,0.236,0.223,2.422,,,,,,,,,,,,,
Saudi Arabia,0.964,0.571,0.603,0.090,0.163,2.668,,,,,,,,,,,,,
Spain,1.057,0.826,0.462,0.135,0.124,2.513,,,,,,,,,,,,,
Italy,0.940,0.798,0.379,0.133,0.047,2.794,,,,,,,,,,,,,
Slovenia,1.093,0.722,0.690,0.122,0.085,2.388,,,,,,,,,,,,,
Guatemala,0.790,0.519,0.638,0.163,0.105,3.375,,,,,,,,,,,,,
Uruguay,1.042,0.649,0.625,0.128,0.223,2.600,,,,,,,,,,,,,
Singapore,1.019,0.897,0.664,0.176,0.547,1.379,,,,,,,,,,,,,
Kosovo,0.807,0.483,0.593,0.356,0.014,3.182,,,,,,,,,,,,,
Slovakia,1.066,0.653,0.468,0.107,0.018,2.714,,,,,,,,,,,,,
Brazil,0.944,0.571,0.514,0.142,0.117,3.015,,,,,,,,,,,,,
Mexico,0.830,0.634,0.585,0.092,0.089,2.961,,,,,,,,,,,,,
Jamaica,0.932,0.599,0.618,0.099,0.035,3.135,,,,,,,,,,,,,
Lithuania,1.065,0.612,0.476,0.056,0.073,2.624,,,,,,,,,,,,,
Cyprus,0.765,0.801,0.464,0.178,0.061,2.578,,,,,,,,,,,,,
Estonia,1.079,0.640,0.641,0.119,0.263,2.103,,,,,,,,,,,,,
Panama,0.976,0.667,0.596,0.079,0.053,2.509,,,,,,,,,,,,,
Uzbekistan,1.027,0.528,0.716,0.391,0.271,2.477,,,,,,,,,,,,,
Chile,0.946,0.678,0.438,0.159,0.070,2.682,,,,,,,,,,,,,
Poland,0.982,0.668,0.558,0.080,0.130,2.438,,,,,,,,,,,,,
Kazakhstan,1.103,0.527,0.573,0.143,0.132,2.446,,,,,,,,,,,,,
Romania,0.832,0.595,0.564,0.045,0.001,2.830,,,,,,,,,,,,,
Kuwait,0.857,0.580,0.591,0.120,0.130,2.368,,,,,,,,,,,,,
Serbia,0.924,0.634,0.482,0.189,0.066,2.682,,,,,,,,,,,,,
El Salvador,0.675,0.565,0.615,0.116,0.160,3.085,,,,,,,,,,,,,
Mauritius,0.996,0.574,0.590,0.153,0.096,2.462,,,,,,,,,,,,,
